Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,178.95,-20.85,-135,bottom
C2,1uF,C_0402_1005Metric,176.65,-16.85,0,bottom
C3,100nF,C_0402_1005Metric,177.55,-20.15,-45,bottom
C4,100nF,C_0402_1005Metric,165.45,-16.95,180,bottom
C5,10uF,C_0402_1005Metric,176.45,-13.85,90,bottom
C6,1uF,C_0402_1005Metric,176.65,-15.85,0,bottom
C7,100nF,C_0402_1005Metric,178.25,-19.45,-45,bottom
C8,100nF,C_0402_1005Metric,175.45,-13.85,90,bottom
C9,100nF,C_0402_1005Metric,174.45,-13.85,90,bottom
C10,100nF,C_0402_1005Metric,174.45,-24.25,-90,bottom
C11,100nF,C_0402_1005Metric,169.75,-13.15,135,bottom
C12,100nF,C_0402_1005Metric,170.45,-24.45,-90,bottom
C13,100nF,C_0402_1005Metric,165.45,-17.95,180,bottom
C14,1uF,C_0402_1005Metric,187.75,-15.75,90,bottom
C15,1uF,C_0402_1005Metric,184.75,-13.05,180,bottom
D1,CD4148W,DIODE_1206_SawnsProjects,0,4.7625,-90,bottom
D2,CD4148W,DIODE_1206_SawnsProjects,57.15,4.7625,-90,bottom
D3,CD4148W,DIODE_1206_SawnsProjects,95.25,4.7625,-90,bottom
D4,CD4148W,DIODE_1206_SawnsProjects,142.875,4.7625,-90,bottom
D5,CD4148W,DIODE_1206_SawnsProjects,180.975,4.7625,-90,bottom
D6,CD4148W,DIODE_1206_SawnsProjects,228.6,4.7625,-90,bottom
D7,CD4148W,DIODE_1206_SawnsProjects,266.7,4.7625,-90,bottom
D8,CD4148W,DIODE_1206_SawnsProjects,38.1,4.7625,-90,bottom
D9,CD4148W,DIODE_1206_SawnsProjects,76.2,4.7625,-90,bottom
D10,CD4148W,DIODE_1206_SawnsProjects,123.825,4.7625,-90,bottom
D11,CD4148W,DIODE_1206_SawnsProjects,161.925,4.7625,-90,bottom
D12,CD4148W,DIODE_1206_SawnsProjects,209.55,4.7625,-90,bottom
D13,CD4148W,DIODE_1206_SawnsProjects,247.65,4.7625,-90,bottom
D14,CD4148W,DIODE_1206_SawnsProjects,247.65,-33.3375,-90,bottom
D15,CD4148W,DIODE_1206_SawnsProjects,0,-33.3375,-90,bottom
D16,CD4148W,DIODE_1206_SawnsProjects,38.1,-33.3375,-90,bottom
D17,CD4148W,DIODE_1206_SawnsProjects,76.2,-33.3375,-90,bottom
D18,CD4148W,DIODE_1206_SawnsProjects,114.3,-33.3375,-90,bottom
D19,CD4148W,DIODE_1206_SawnsProjects,152.4,-33.3375,-90,bottom
D20,CD4148W,DIODE_1206_SawnsProjects,190.5,-33.3375,-90,bottom
D21,CD4148W,DIODE_1206_SawnsProjects,228.6,-33.3375,-90,bottom
D22,CD4148W,DIODE_1206_SawnsProjects,314.325,-33.3375,-90,bottom
D23,CD4148W,DIODE_1206_SawnsProjects,19.05,-33.3375,-90,bottom
D24,CD4148W,DIODE_1206_SawnsProjects,57.15,-33.3375,-90,bottom
D25,CD4148W,DIODE_1206_SawnsProjects,95.25,-33.3375,-90,bottom
D26,CD4148W,DIODE_1206_SawnsProjects,133.35,-33.3375,-90,bottom
D27,CD4148W,DIODE_1206_SawnsProjects,171.45,-33.3375,-90,bottom
D28,CD4148W,DIODE_1206_SawnsProjects,209.55,-33.3375,-90,bottom
D29,CD4148W,DIODE_1206_SawnsProjects,266.7,-33.3375,-90,bottom
D30,CD4148W,DIODE_1206_SawnsProjects,295.275,-33.3375,-90,bottom
D31,CD4148W,DIODE_1206_SawnsProjects,333.375,-33.3375,-90,bottom
D32,CD4148W,DIODE_1206_SawnsProjects,4.7625,-52.3875,-90,bottom
D33,CD4148W,DIODE_1206_SawnsProjects,47.625,-52.3875,-90,bottom
D34,CD4148W,DIODE_1206_SawnsProjects,85.725,-52.3875,-90,bottom
D35,CD4148W,DIODE_1206_SawnsProjects,123.825,-52.3875,-90,bottom
D36,CD4148W,DIODE_1206_SawnsProjects,161.925,-52.3875,-90,bottom
D37,CD4148W,DIODE_1206_SawnsProjects,200.025,-52.3875,-90,bottom
D38,CD4148W,DIODE_1206_SawnsProjects,238.125,-52.3875,-90,bottom
D39,CD4148W,DIODE_1206_SawnsProjects,314.325,-52.3875,-90,bottom
D40,CD4148W,DIODE_1206_SawnsProjects,28.575,-52.3875,-90,bottom
D41,CD4148W,DIODE_1206_SawnsProjects,66.675,-52.3875,-90,bottom
D42,CD4148W,DIODE_1206_SawnsProjects,104.775,-52.3875,-90,bottom
D43,CD4148W,DIODE_1206_SawnsProjects,142.875,-52.3875,-90,bottom
D44,CD4148W,DIODE_1206_SawnsProjects,180.975,-52.3875,-90,bottom
D45,CD4148W,DIODE_1206_SawnsProjects,219.075,-52.3875,-90,bottom
D46,CD4148W,DIODE_1206_SawnsProjects,271.4625,-52.3875,-90,bottom
